"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Guinea","GIN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","263827","255102","276304","295500","301436","314382","330252","328195","","","","","","","320717","321261","319521","308608","263866","250673","237675","234654","230351","220419","233896","227430","199210","175736","182407","167548","136334","","142323","","","",
"Gambia, The","GMB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","24469","25498","25959","26892","27415","27504","24936","23437","22054","20357","16371","14759","13629","14015","12967","14102","","","","","","33093","32120","","","31963","","36662","29192","35676","38632","42692","42466","44680","49133","43955","42339","49586","","48294","50878","48503","50114","52814","44905","43895","41254","39679","",
"Guinea-Bissau","GNB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","23402","16100","","20787","22463","","33127","35588","","","","","","","","","","","","41500","","","","","","","","","","29854","","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11633","","","","","","9971","8597","9543","11478","","","","","29825","32063","34145","35091","35655","","","42800","","","","",
"Greece","GRC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","37327","35661","31297","24770","24259","24802","28119","31484","35042","41001","34442","32236","28360","28520","29058","33481","43168","39565","41184","40723","41198","49003","54344","53781","48766","45084","38599","11497","8182","3530","8399","7183","7516","6916","10700","10849","11701","","","6393","6139","4937","4392","8097","5996","4480","4374","","",
"Grenada","GRD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","1961","","","","","196","","","196","711","985","994","809","","","","","","","","","","","","","","","","","","","","","304","","","","","","","","","","","","","","",
"Greenland","GRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","238437","237349","239682","","246754","247014","","","255636","","","243826","275243","256805","","","","","","","","","","","","","","231120","","126258","112844","129644","106481","","69639","58764","45873","40100","44528","","","57729","93336","121485","144170","146694","153545","141185","129292","",
"Guam","GUM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","9027","8101","","6758","","9255","5943","","8402","","","7829","","","","","","","","","4055","5140","6118","","4998","5756","","","","","","","3813","","","","","872","3646","1218","","","","","","","","","",
